10
90
0 1 2
0 2 15
0 3 3
0 4 8
0 5 1
0 6 15
0 7 13
0 8 9
0 9 11
1 0 15
1 2 13
1 3 12
1 4 6
1 5 15
1 6 10
1 7 0
1 8 11
1 9 12
2 0 6
2 1 6
2 3 6
2 4 11
2 5 5
2 6 13
2 7 4
2 8 15
2 9 6
3 0 12
3 1 11
3 2 10
3 4 3
3 5 10
3 6 3
3 7 2
3 8 4
3 9 6
4 0 1
4 1 8
4 2 10
4 3 11
4 5 9
4 6 5
4 7 1
4 8 11
4 9 3
5 0 8
5 1 15
5 2 5
5 3 13
5 4 10
5 6 5
5 7 1
5 8 5
5 9 14
6 0 5
6 1 12
6 2 8
6 3 0
6 4 12
6 5 11
6 7 7
6 8 8
6 9 6
7 0 13
7 1 6
7 2 12
7 3 7
7 4 11
7 5 0
7 6 6
7 8 9
7 9 14
8 0 14
8 1 12
8 2 8
8 3 8
8 4 9
8 5 13
8 6 0
8 7 5
8 9 7
9 0 11
9 1 11
9 2 8
9 3 12
9 4 14
9 5 15
9 6 5
9 7 15
9 8 14
